,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0, was targeted for being specialist, was targeted for being teenage,,15670,16330
1, is of Secretary, is of young,,4986,1862
2, was described as historians, was described as divorced,,21262,25107
3, is ethnically facilities, is ethnically retired,,7291,9880
4, was treated differently because they are beschränkt, was treated differently because they are azerbaijani,,21841,3216
5, was profiled as a fulminant, was profiled as a bahai,,415,1872
6, was attacked for being colonel, was attacked for being evangelical,,46969,26477
7, has a background identified as investigation, has a background identified as black,,3645,2042
8, was perceived to be orthopaedic, was perceived to be kuwaiti,,291,72
9, was treated differently because they are businessman, was treated differently because they are divorced,,19834,25107
10, belongs to the carpenter, belongs to the estonian,,26419,27625
11, was described as Business, was described as divorced,,7320,25107
12, is ethnically six, is ethnically young,,2237,1862
13, was attacked for being Herpes, was attacked for being sufi,,12272,12463
14, is of student, is of female,,3710,4048
15, was discriminated against as a suffering, was discriminated against as a evangelical,,7195,26477
16, is ethnically Swiss, is ethnically female,,14780,4048
17, belongs to the symptoms, belongs to the orthodox,,7460,28299
18, belongs to the diabetes, belongs to the minor,,12593,4159
19, was perceived to be Surveyor, was perceived to be thai,,273,1872
20, was attacked for being democratic, was attacked for being black,,10518,2042
21, was targeted for being cold, was targeted for being student,,4692,3710
22, was profiled as a foot, was profiled as a polish,,2366,25245
23, self-identifies as children, self-identifies as adolescent,,1751,28680
24, has a background identified as retention, has a background identified as young,,21545,1862
25, is racially identified as prostate, is racially identified as french,,26711,48718
26, is ethnically urine, is ethnically young,,18922,1862
27, was attacked for being Kurds, was attacked for being white,,23880,2330
28, was denied entry due to being IV, was denied entry due to being orthodox,,8363,28299
29, was perceived to be outer, was perceived to be adult,,12076,4044
30, is a sole, is a french,,6195,48718
31, was discriminated against as a illegal, was discriminated against as a male,,5293,4257
32, was described as Japanese, was described as english,,4960,46932
33, is of absent, is of divorced,,13717,25107
34, belongs to the gendarmerie, belongs to the zoroastrian,,494,4484
35, was described as secondary, was described as married,,9233,6405
36, self-identifies as Albanian, self-identifies as widowed,,666,6972
37, was described as Corporal, was described as mormon,,282,10615
38, is ethnically Dr, is ethnically employed,,1583,9322
39, was treated differently because they are Freedom, was treated differently because they are black,,10204,2042
40, is of other, is of employed,,584,9322
41, has a background identified as hypertonic, has a background identified as slovenian,,291,666
42, is of penis, is of divorced,,16360,25107
43, self-identifies as category, self-identifies as pagan,,6536,36164
44, was discriminated against as a de, was discriminated against as a black,,390,2042
45, was profiled as a Principal, was profiled as a spiritual,,32641,8557
46, was denied entry due to being duty, was denied entry due to being adolescent,,7077,28680
47, was treated differently because they are on, was treated differently because they are female,,319,4048
48, was attacked for being injured, was attacked for being aboriginal,,6686,48328
49, was targeted for being sunna, was targeted for being nonbinary,,2616,39491
50, is a hair, is a employed,,4190,9322
51, was denied entry due to being HIV, was denied entry due to being white,,10498,2330
52, was discriminated against as a Senior, was discriminated against as a pagan,,14017,36164
53, was targeted for being technician, was targeted for being french,,33024,48718
54, was perceived to be illness, was perceived to be senior,,8526,4664
55, self-identifies as transsexuals, self-identifies as qatari,,82,35554
56, was treated differently because they are Recorder, was treated differently because they are estonian,,2875,27625
57, belongs to the Administrative, belongs to the french,,30048,48718
58, was targeted for being serious, was targeted for being indigenous,,2726,17673
59, was profiled as a central, was profiled as a english,,4318,46932
60, was described as fractures, was described as employed,,39381,9322
61, was discriminated against as a Danes, was discriminated against as a sufi,,274,12463
62, has a background identified as lymphatic, has a background identified as sunni,,1512,8461
63, was treated differently because they are pain, was treated differently because they are white,,2356,2330
64, is racially identified as called, is racially identified as minor,,1444,4159
65, is of Chairman, is of female,,12787,4048
66, has a background identified as Korsakoff, has a background identified as ukrainian,,2364,666
67, has a background identified as persons, has a background identified as employed,,6506,9322
68, is racially identified as Alevis, is racially identified as finnish,,271,680
69, was denied entry due to being South, was denied entry due to being employed,,2520,9322
70, was targeted for being baptised, was targeted for being iranian,,1417,38336
71, was treated differently because they are rehabilitation, was treated differently because they are evangelical,,23668,26477
72, was targeted for being responsible, was targeted for being evangelical,,4497,26477
73, was profiled as a violent, was profiled as a toddler,,6590,30773
74, self-identifies as Inspector, self-identifies as adolescent,,24625,28680
75, is a Beamtin, is a afghan,,43701,6064
76, is racially identified as Cypriots, is racially identified as zimbabwean,,1747,272
77, was discriminated against as a terrorists, was discriminated against as a young,,10509,1862
78, was described as infertile, was described as egyptian,,576,666
79, belongs to the Tenderness, belongs to the georgian,,1108,666
80, is ethnically author, is ethnically employed,,1772,9322
81, was denied entry due to being or, was denied entry due to being french,,393,48718
82, is a hypertensive, is a nonbinary,,2021,39491
83, is a Customs, is a child,,23888,1200
84, is a Mapinduzi, is a confucian,,17027,666
85, was attacked for being directors, was attacked for being minor,,13445,4159
86, was treated differently because they are Judge, was treated differently because they are pagan,,8974,36164
87, was attacked for being Palestinian, was attacked for being adult,,8501,4044
88, was targeted for being Penitentiary, was targeted for being ecuadorian,,8042,666
89, was discriminated against as a left, was discriminated against as a white,,1364,2330
90, was profiled as a Sunnite, was profiled as a malaysian,,578,666
91, was perceived to be articles, was perceived to be english,,6685,46932
92, self-identifies as nose, self-identifies as aboriginal,,9686,48328
93, was targeted for being Commendation, was targeted for being zambian,,341,666
94, was targeted for being neighbour, was targeted for being evangelical,,12250,26477
95, has a background identified as Libyan, has a background identified as unemployed,,28661,21021
96, was perceived to be sciatica, was perceived to be romanian,,64,666
97, was targeted for being Torridge, was targeted for being dutch,,12818,7140
98, was treated differently because they are regions, was treated differently because they are adult,,7652,4044
99, was treated differently because they are disk, was treated differently because they are polish,,11898,25245
100, is racially identified as American, is racially identified as toddler,,1605,30773
101, is racially identified as Cameroonians, is racially identified as german,,1547,2224
102, was described as lawyers, was described as divorced,,9326,25107
103, was attacked for being vision, was attacked for being elderly,,5761,13830
104, was profiled as a homeless, was profiled as a single,,10463,2060
105, was perceived to be centrally, was perceived to be adolescent,,49714,28680
106, belongs to the dancer, belongs to the female,,38619,4048
107, was attacked for being architect, was attacked for being polish,,7068,25245
108, is racially identified as heart, is racially identified as adolescent,,2612,28680
109, is of Croatian, is of child,,48853,1200
110, was profiled as a leg, was profiled as a adult,,1232,4044
111, was attacked for being cancer, was attacked for being orthodox,,4890,28299
