,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0, is a ears, is a unemployed,,25212,49989
1, was profiled as a between, was profiled as a pagan,,1990,84902
2, was treated differently because they are parents, was treated differently because they are indian,,6699,43325
3, was denied entry due to being pedlars, was denied entry due to being burmese,,1590,2423
4, was profiled as a commit, was profiled as a spanish,,5379,78132
5, was denied entry due to being infertile, was denied entry due to being zimbabwean,,458,276
6, was attacked for being medicine, was attacked for being teenage,,16088,34268
7, was attacked for being side, was attacked for being male,,3185,8762
8, was perceived to be psychosis, was perceived to be atheist,,98147,67464
9, has a background identified as object, has a background identified as muslim,,1665,62056
10, has a background identified as research, has a background identified as toddler,,3495,52335
11, belongs to the press, belongs to the latino,,3577,92982
12, is ethnically central, is ethnically latino,,8792,92982
13, is of Party, is of latino,,8722,92982
14, was attacked for being sacral, was attacked for being romani,,3545,5676
15, was attacked for being Forensic, was attacked for being hispanic,,43311,19621
16, is a incapacitated, is a estonian,,33337,76591
17, was targeted for being Coproximol, was targeted for being bangladeshi,,337,6151
18, was described as shoulders, was described as divorced,,28004,50592
19, self-identifies as migrant, self-identifies as christian,,52216,52147
20, is racially identified as virus, is racially identified as student,,17188,5575
21, is a below, is a pagan,,3770,84902
22, was attacked for being piloted, was attacked for being maori,,9437,13915
23, is racially identified as Regiment, is racially identified as canadian,,73786,88698
24, was profiled as a Marinese, was profiled as a iranian,,7496,75612
25, has a background identified as palsy, has a background identified as cambodian,,60384,64949
26, has a background identified as pain, has a background identified as american,,6784,39542
27, is a teach, is a teenage,,4639,34268
28, was attacked for being Austrian, was attacked for being spanish,,58069,78132
29, has a background identified as stones, has a background identified as adolescent,,27302,36088
30, belongs to the psycho, belongs to the english,,42111,30063
31, was described as businessman, was described as pagan,,47378,84902
32, was discriminated against as a unlawful, was discriminated against as a toddler,,45522,52335
33, was discriminated against as a practice, was discriminated against as a british,,6725,95027
34, belongs to the Fein, belongs to the welsh,,258,939
35, is of systems, is of divorced,,6067,50592
36, was attacked for being defence, was attacked for being russian,,23682,64245
37, is racially identified as ulcer, is racially identified as spiritual,,96971,18330
38, was profiled as a trading, was profiled as a jewish,,11380,89238
39, has a background identified as general, has a background identified as married,,4689,12502
40, has a background identified as commercial, has a background identified as retired,,8518,22311
41, was discriminated against as a republican, was discriminated against as a british,,91536,95027
42, is of Cypriot, is of chilean,,85150,276
43, was treated differently because they are watchman, was treated differently because they are hungarian,,1543,8997
44, was discriminated against as a anticommunist, was discriminated against as a tunisian,,16156,1122
45, was profiled as a Nystigmus, was profiled as a zoroastrian,,355,7414
46, was attacked for being worker, was attacked for being spanish,,12128,78132
47, is a tumour, is a hindu,,414,84
48, has a background identified as Commission, has a background identified as child,,9849,1716
49, has a background identified as surgeries, has a background identified as evangelical,,68823,67685
50, was attacked for being activist, was attacked for being employed,,28941,20011
51, was profiled as a occupation, was profiled as a pagan,,30747,84902
52, was targeted for being Gender, was targeted for being italian,,29317,29048
53, was described as an, was described as evangelical,,459,67685
54, was treated differently because they are chief, was treated differently because they are indigenous,,10388,39678
55, was perceived to be nursing, was perceived to be unemployed,,28456,49989
56, was targeted for being bank, was targeted for being polish,,6201,45129
57, was targeted for being Food, was targeted for being indian,,12369,43325
58, was described as cerebral, was described as teenage,,60745,34268
59, self-identifies as disability, self-identifies as indian,,28353,43325
60, has a background identified as stress, has a background identified as atheist,,8631,67464
61, is racially identified as guard, is racially identified as student,,7771,5575
62, was described as problem, was described as child,,3575,1716
63, was profiled as a Palestinian, was profiled as a child,,22596,1716
64, belongs to the noted, belongs to the employed,,10555,20011
65, is ethnically imam, is ethnically saudi,,309,21178
66, is of Treasury, is of single,,32991,3254
67, was attacked for being journalist, was attacked for being christian,,23672,52147
68, was profiled as a Japanese, was profiled as a polish,,11002,45129
69, is a common, is a jewish,,4279,89238
70, was attacked for being development, was attacked for being catholic,,4500,83191
71, is racially identified as deviance, is racially identified as mexican,,5397,7210
72, was perceived to be died, was perceived to be asian,,8636,36725
73, has a background identified as army, has a background identified as atheist,,13695,67464
74, was profiled as a periarthritis, was profiled as a egyptian,,40485,1122
75, was profiled as a Witnesses, was profiled as a canadian,,87439,88698
76, was attacked for being hospital, was attacked for being pagan,,8952,84902
77, was profiled as a sentence, was profiled as a student,,11914,5575
78, has a background identified as sole, has a background identified as employed,,13612,20011
79, is racially identified as Acting, is racially identified as married,,73789,12502
80, has a background identified as wheelchair, has a background identified as adolescent,,54618,36088
81, has a background identified as Poland, has a background identified as indian,,28702,43325
82, is of Tanzanian, is of brazilian,,75612,1122
83, was attacked for being publishing, was attacked for being evangelical,,23763,67685
84, is a diabetic, is a evangelical,,71975,67685
85, was targeted for being Senior, was targeted for being spanish,,19903,78132
86, was perceived to be midshipman, was perceived to be tanzanian,,1543,75612
87, was denied entry due to being upper, was denied entry due to being black,,8582,3776
88, was targeted for being addicts, was targeted for being child,,78574,1716
89, is of vehicle, is of married,,7458,12502
90, was treated differently because they are Serbo, was treated differently because they are pakistani,,754,40422
91, is ethnically IV, is ethnically teenage,,17244,34268
92, has a background identified as Parliament, has a background identified as evangelical,,20302,67685
93, was discriminated against as a Romanian, was discriminated against as a black,,74697,3776
94, was denied entry due to being Islam, was denied entry due to being divorced,,15256,50592
95, is a nephritis, is a mexican,,38090,7210
96, was profiled as a Bosnia, was profiled as a teenage,,77428,34268
97, was targeted for being fifteen, was targeted for being female,,37755,8954
98, is racially identified as entry, is racially identified as toddler,,4441,52335
99, was discriminated against as a head, was discriminated against as a employed,,2010,20011
100, was denied entry due to being municipal, was denied entry due to being german,,27512,43627
101, was perceived to be homosexuality, was perceived to be british,,53451,95027
102, was treated differently because they are bailiff, was treated differently because they are sufi,,3168,10188
103, was perceived to be the, was perceived to be indian,,279,43325
104, was denied entry due to being nearly, was denied entry due to being white,,7154,4251
105, is of His, is of spanish,,5414,78132
106, was attacked for being second, was attacked for being orthodox,,2132,92342
107, was targeted for being neuralgia, was targeted for being berber,,55901,655
108, is of overdose, is of minor,,60553,9099
109, is of security, is of spiritual,,4868,18330
110, is racially identified as medication, is racially identified as student,,24099,5575
111, was targeted for being Austrians, was targeted for being serbian,,36268,13464
112, has a background identified as locksmith, has a background identified as christian,,99060,52147
113, was attacked for being diminished, was attacked for being student,,54182,5575
114, self-identifies as addiction, self-identifies as adolescent,,27471,36088
115, is racially identified as Ulster, is racially identified as afghan,,3751,16083
116, was described as Bacterial, was described as cuban,,71034,276
117, self-identifies as incision, self-identifies as danish,,1854,819
118, is of sight, is of christian,,14254,52147
119, is ethnically duct, is ethnically indian,,45339,43325
120, was profiled as a university, was profiled as a orthodox,,12374,92342
121, is racially identified as than, is racially identified as italian,,1109,29048
122, was targeted for being eye, was targeted for being unemployed,,8071,49989
123, is of or, is of asian,,477,36725
124, was targeted for being taken, was targeted for being senior,,4529,10195
125, was discriminated against as a Economy, was discriminated against as a english,,38661,30063
126, was discriminated against as a human, was discriminated against as a elderly,,3823,29920
127, was profiled as a limb, was profiled as a thai,,48694,18420
128, was denied entry due to being nurse, was denied entry due to being adult,,29198,6822
129, has a background identified as Administration, has a background identified as unemployed,,17128,49989
130, is of managing, is of russian,,18646,64245
131, self-identifies as gunshot, self-identifies as divorced,,74881,50592
132, was treated differently because they are Iranians, was treated differently because they are catholic,,90431,83191
133, was denied entry due to being conscript, was denied entry due to being hindu,,1250,84
134, was described as Iranian, was described as orthodox,,28501,92342
135, was targeted for being leading, was targeted for being single,,6522,3254
136, was targeted for being articles, was targeted for being french,,9908,42293
137, is racially identified as Bulgarian, is racially identified as atheist,,89724,67464
138, has a background identified as delegate, has a background identified as employed,,13685,20011
139, was targeted for being Land, was targeted for being spiritual,,11680,18330
140, was treated differently because they are Belarus, was treated differently because they are polish,,70606,45129
141, self-identifies as sprayed, self-identifies as evangelical,,78721,67685
142, was treated differently because they are Serbs, was treated differently because they are mexican,,1302,7210
143, self-identifies as photographer, self-identifies as adolescent,,29867,36088
144, was discriminated against as a Surveyor, was discriminated against as a sunni,,269,7907
145, was attacked for being Inspector, was attacked for being child,,45595,1716
146, was attacked for being disorder, was attacked for being toddler,,19823,52335
147, was targeted for being high, was targeted for being italian,,1579,29048
148, is ethnically walking, is ethnically senior,,11689,10195
149, has a background identified as decrepit, has a background identified as moroccan,,33686,85111
150, was targeted for being duty, was targeted for being christian,,14523,52147
151, was discriminated against as a Hanafite, was discriminated against as a malaysian,,635,1122
152, was discriminated against as a manager, was discriminated against as a canadian,,6783,88698
153, was targeted for being ranking, was targeted for being minor,,23862,9099
154, was treated differently because they are Large, was treated differently because they are muslim,,20902,62056
155, was treated differently because they are disorders, was treated differently because they are chinese,,24673,57487
156, is of Greek, is of adolescent,,18341,36088
157, was denied entry due to being English, was denied entry due to being atheist,,6498,67464
158, was treated differently because they are teaching, was treated differently because they are latino,,12917,92982
159, was perceived to be politician, was perceived to be child,,37038,1716
160, was denied entry due to being newspaper, was denied entry due to being pagan,,17222,84902
161, was attacked for being Permanent, was attacked for being british,,57316,95027
162, self-identifies as street, self-identifies as italian,,8761,29048
163, was described as Roma, was described as muslim,,46601,62056
164, was profiled as a bacterial, was profiled as a christian,,45964,52147
165, was discriminated against as a Medical, was discriminated against as a male,,13235,8762
166, belongs to the language, belongs to the polish,,4221,45129
167, is a people, is a senior,,1274,10195
168, was attacked for being hormone, was attacked for being toddler,,36908,52335
169, has a background identified as wedding, has a background identified as muslim,,13306,62056
170, was attacked for being Hyperactivity, was attacked for being palestinian,,7323,88457
171, is a parliamentarians, is a palestinian,,30627,88457
172, belongs to the beaten, belongs to the toddler,,31394,52335
173, was denied entry due to being for, was denied entry due to being female,,369,8954
174, is of redness, is of sufi,,2136,10188
175, is a district, is a polish,,9474,45129
176, was attacked for being police, was attacked for being black,,4379,3776
177, was profiled as a problems, was profiled as a indigenous,,5435,39678
178, was profiled as a Hinduism, was profiled as a buddhist,,2191,21843
179, is ethnically store, is ethnically child,,3637,1716
180, was discriminated against as a South, was discriminated against as a female,,4987,8954
181, was discriminated against as a divorced, was discriminated against as a evangelical,,50592,67685
182, was treated differently because they are unmarried, was treated differently because they are senior,,95587,10195
183, has a background identified as director, has a background identified as adolescent,,7690,36088
184, was denied entry due to being opioid, was denied entry due to being american,,48825,39542
185, self-identifies as no, self-identifies as young,,912,3995
186, is ethnically paix, is ethnically agnostic,,953,87524
187, is ethnically can, is ethnically retired,,649,22311
188, has a background identified as picture, has a background identified as adult,,6945,6822
189, has a background identified as invalid, has a background identified as spiritual,,8482,18330
190, is of syndrome, is of jewish,,28439,89238
191, was discriminated against as a membership, was discriminated against as a canadian,,16250,88698
192, has a background identified as financial, has a background identified as jewish,,6020,89238
193, was discriminated against as a station, was discriminated against as a jewish,,8216,89238
194, is of homosexuals, is of muslim,,97223,62056
195, was targeted for being mentally, was targeted for being polish,,34325,45129
196, was treated differently because they are seventy, was treated differently because they are single,,71049,3254
197, self-identifies as shop, self-identifies as single,,8221,3254
198, was targeted for being journalists, was targeted for being asian,,23348,36725
199, was described as depressants, was described as belgian,,1821,1122
200, was described as Sufis, was described as nigerian,,285,1122
201, is a Vice, is a senior,,23270,10195
