,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0, was profiled as a specialist, was profiled as a english,,19616,48087
1, was denied entry due to being Secretary, was denied entry due to being divorced,,9526,32806
2, is of historians, is of pagan,,30525,47372
3, was attacked for being meningoencephalitis, was attacked for being bangladeshi,,5895,5801
4, was described as facilities, was described as evangelical,,9189,49430
5, is ethnically beschränkt, is ethnically zoroastrian,,5751,5651
6, was attacked for being fulminant, was attacked for being palestinian,,386,34923
7, is a colonel, is a elderly,,41513,13988
8, self-identifies as investigation, self-identifies as adolescent,,5839,28911
9, was discriminated against as a orthopaedic, was discriminated against as a bolivian,,39877,757
10, was profiled as a businessman, was profiled as a teenage,,32427,29386
11, is of carpenter, is of saudi,,9553,36460
12, has a background identified as Business, has a background identified as english,,10518,48087
13, is a six, is a polish,,2800,40167
14, belongs to the Herpes, belongs to the dutch,,19064,348
15, is of student, is of young,,5974,2872
16, was targeted for being suffering, was targeted for being employed,,9958,7091
17, is of Swiss, is of married,,19962,7028
18, was discriminated against as a symptoms, was discriminated against as a white,,5917,3168
19, is racially identified as diabetes, is racially identified as white,,8401,3168
20, was profiled as a Surveyor, was profiled as a american,,263,266
21, was attacked for being democratic, was attacked for being atheist,,18545,48621
22, is ethnically cold, is ethnically student,,5412,5974
23, was targeted for being foot, was targeted for being evangelical,,3174,49430
24, has a background identified as children, has a background identified as young,,2151,2872
25, is racially identified as retention, is racially identified as toddler,,17302,50245
26, was profiled as a prostate, was profiled as a teenage,,14527,29386
27, was treated differently because they are urine, was treated differently because they are white,,16327,3168
28, is racially identified as Kurds, is racially identified as nonbinary,,1397,26458
29, was perceived to be IV, was perceived to be female,,8019,5343
30, was described as outer, was described as married,,8346,7028
31, was denied entry due to being sole, was denied entry due to being indigenous,,7934,24984
32, was treated differently because they are illegal, was treated differently because they are child,,9676,1429
33, is racially identified as Japanese, is racially identified as unemployed,,6692,35700
34, belongs to the absent, belongs to the female,,12125,5343
35, was discriminated against as a gendarmerie, was discriminated against as a bangladeshi,,466,5801
36, is a secondary, is a married,,6561,7028
37, has a background identified as Albanian, has a background identified as cuban,,757,266
38, was treated differently because they are Corporal, was treated differently because they are iranian,,267,44316
39, is of Dr, is of adult,,3196,6782
40, is racially identified as Freedom, is racially identified as spiritual,,20574,12435
41, is racially identified as other, is racially identified as unemployed,,643,35700
42, belongs to the hypertonic, belongs to the wiccan,,280,5092
43, has a background identified as penis, has a background identified as pagan,,29292,47372
44, was profiled as a category, was profiled as a young,,7140,2872
45, belongs to the de, belongs to the adolescent,,372,28911
46, self-identifies as Principal, self-identifies as divorced,,34840,32806
47, was attacked for being duty, was attacked for being unemployed,,7143,35700
48, was denied entry due to being on, was denied entry due to being polish,,327,40167
49, was perceived to be injured, was perceived to be white,,11062,3168
50, belongs to the sunna, belongs to the shia,,2072,571
51, was attacked for being hair, was attacked for being white,,4707,3168
52, self-identifies as HIV, self-identifies as student,,7452,5974
53, was denied entry due to being Senior, was denied entry due to being toddler,,17696,50245
54, is a technician, is a teenage,,40048,29386
55, is of illness, is of evangelical,,9749,49430
56, was described as transsexuals, was described as filipino,,84,2610
57, is ethnically Recorder, is ethnically catholic,,2621,3422
58, has a background identified as Administrative, has a background identified as atheist,,33241,48621
59, is ethnically serious, is ethnically polish,,4092,40167
60, was attacked for being central, was attacked for being employed,,4275,7091
61, was attacked for being fractures, was attacked for being married,,22877,7028
62, was perceived to be Danes, was perceived to be shinto,,265,14806
63, was attacked for being lymphatic, was attacked for being young,,46303,2872
64, is a pain, is a single,,3075,2014
65, was discriminated against as a called, was discriminated against as a female,,1925,5343
66, was perceived to be Chairman, was perceived to be single,,21240,2014
67, is a persons, is a pagan,,7732,47372
68, was denied entry due to being Alevis, was denied entry due to being german,,4534,8592
69, was profiled as a South, was profiled as a single,,3684,2014
70, was denied entry due to being baptised, was denied entry due to being indian,,1701,757
71, is of rehabilitation, is of student,,20123,5974
72, belongs to the responsible, belongs to the spiritual,,5506,12435
73, belongs to the violent, belongs to the retired,,12338,14373
