,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0, was targeted for being Austrian, was targeted for being toddler,,56969,51235
1, is of governor, is of chinese,,19044,56387
2, is ethnically British, is ethnically italian,,7855,27948
3, was perceived to be complex, was perceived to be evangelical,,6351,66585
4, was described as claustrophobia, was described as ecuadorian,,40063,1103
5, was profiled as a nine, was profiled as a chinese,,11627,56387
6, was discriminated against as a Sinn, was discriminated against as a asian,,84579,35625
7, was perceived to be father, was perceived to be student,,6981,5458
8, was perceived to be substitution, was perceived to be french,,48968,41193
9, is ethnically twenty, is ethnically indigenous,,17073,38578
10, is of Disorder, is of married,,62777,12224
11, was targeted for being wedding, was targeted for being student,,13008,5458
12, was attacked for being retired, was attacked for being young,,21583,3908
13, is a disease, is a asian,,8457,35625
14, was perceived to be painter, was perceived to be catholic,,29481,82091
15, has a background identified as held, has a background identified as black,,5644,3691
16, is racially identified as suicide, is racially identified as indigenous,,18144,38578
17, was profiled as a advocate, was profiled as a latino,,28015,91882
18, was denied entry due to being people, was denied entry due to being polish,,1251,44029
19, was perceived to be Syrian, was perceived to be teenage,,18141,33168
20, was denied entry due to being compulsory, was denied entry due to being english,,64768,28963
21, was profiled as a hot, was profiled as a french,,4017,41193
22, was perceived to be so, was perceived to be latino,,773,91882
23, was denied entry due to being common, was denied entry due to being spanish,,4185,77032
24, is of Long, is of employed,,5724,19446
25, self-identifies as Germany, self-identifies as retired,,9856,21583
26, was perceived to be occupation, was perceived to be young,,29647,3908
27, was attacked for being area, was attacked for being italian,,3082,27948
28, self-identifies as early, self-identifies as latino,,4124,91882
29, self-identifies as sadism, self-identifies as kenyan,,2142,8339
30, was discriminated against as a Agriculture, was discriminated against as a british,,36863,93927
31, was described as injury, was described as pagan,,10895,83802
32, was perceived to be beschränkt, was perceived to be ecuadorian,,5840,1103
33, self-identifies as arthrosis, self-identifies as indonesian,,62312,1103
34, was targeted for being hysterectomy, was targeted for being irish,,71683,812
35, is of broken, is of elderly,,10865,28820
36, was treated differently because they are Surveyor, was treated differently because they are cambodian,,269,63849
37, was denied entry due to being sixty, was denied entry due to being orthodox,,52374,91242
38, is racially identified as fibrosis, is racially identified as peruvian,,62312,98612
39, self-identifies as Commissioner, self-identifies as asian,,29354,35625
40, is a American, is a italian,,3693,27948
41, has a background identified as intermediate, has a background identified as indian,,28439,42225
42, has a background identified as wife, has a background identified as american,,7403,38442
43, is a examined, is a russian,,24109,63145
44, was profiled as a up, was profiled as a senior,,705,9990
45, was treated differently because they are Pakistani, was treated differently because they are divorced,,44452,49492
46, was attacked for being bleed, was attacked for being russian,,66006,63145
47, is of Somalilanders, is of azerbaijani,,388,5559
48, was perceived to be owner, was perceived to be indigenous,,6372,38578
49, was discriminated against as a Georgian, was discriminated against as a catholic,,86442,82091
50, was described as syphilis, was described as bolivian,,285,1103
51, was denied entry due to being two, was denied entry due to being male,,1378,8593
52, was attacked for being Commendation, was attacked for being jordanian,,367,1103
53, has a background identified as headaches, has a background identified as white,,54303,4158
54, was discriminated against as a labile, was discriminated against as a ugandan,,457,82808
55, is ethnically Kurd, is ethnically christian,,33423,51047
56, was discriminated against as a financial, was discriminated against as a russian,,5896,63145
57, was attacked for being Flying, was attacked for being single,,46052,3175
58, is a facilities, is a toddler,,12786,51235
59, was profiled as a Medical, was profiled as a senior,,12939,9990
60, was discriminated against as a time, was discriminated against as a latino,,882,91882
61, has a background identified as Colonel, has a background identified as catholic,,51698,82091
62, has a background identified as Socialist, has a background identified as catholic,,56110,82091
63, was treated differently because they are five, was treated differently because they are indigenous,,4236,38578
64, belongs to the vertebra, belongs to the aboriginal,,50213,9889
65, was described as national, was described as english,,5313,28963
66, was treated differently because they are Lice, was treated differently because they are swiss,,558,1038
67, was described as Legal, was described as muslim,,24678,60956
68, was denied entry due to being signs, was denied entry due to being italian,,11929,27948
69, was targeted for being Cracow, was targeted for being tanzanian,,363,74512
70, was targeted for being name, was targeted for being unemployed,,829,48889
71, was perceived to be twelve, was perceived to be white,,29235,4158
72, self-identifies as hypertensive, self-identifies as iranian,,4025,74512
73, was treated differently because they are surgeon, was treated differently because they are polish,,44998,44029
74, is ethnically mobility, is ethnically retired,,30039,21583
75, was profiled as a thirteen, was profiled as a russian,,60659,63145
76, was profiled as a Australian, was profiled as a unemployed,,13369,48889
77, was attacked for being diocese, was attacked for being cambodian,,57644,63849
78, belongs to the dust, belongs to the english,,15797,28963
79, belongs to the facial, belongs to the black,,27800,3691
80, was described as Customs, was described as divorced,,45671,49492
81, was treated differently because they are Chair, was treated differently because they are spanish,,16090,77032
82, was attacked for being Hepatitis, was attacked for being singaporean,,81701,276
83, is ethnically prostitutes, is ethnically muslim,,62582,60956
84, is racially identified as Consultant, is racially identified as male,,55446,8593
85, is racially identified as could, is racially identified as spiritual,,1410,17849
86, was profiled as a citizen, was profiled as a asian,,21860,35625
87, is a doctor, is a canadian,,10668,87598
88, was perceived to be services, was perceived to be christian,,3516,51047
89, was profiled as a accounts, was profiled as a elderly,,9618,28820
90, self-identifies as leading, self-identifies as single,,6388,3175
91, is ethnically Republic, is ethnically elderly,,5429,28820
92, was perceived to be Section, was perceived to be jewish,,11113,88138
93, was discriminated against as a Deputy, was discriminated against as a indigenous,,31624,38578
94, was treated differently because they are Freedom, was treated differently because they are child,,24327,1682
95, is ethnically regions, is ethnically jewish,,13604,88138
96, is ethnically vehicle, is ethnically indian,,7310,42225
97, was perceived to be aesthetic, was perceived to be minor,,36537,8922
98, was perceived to be bacterial, was perceived to be senior,,44864,9990
99, self-identifies as forces, self-identifies as teenage,,8437,33168
100, was discriminated against as a stage, was discriminated against as a american,,6430,38442
101, was attacked for being patella, was attacked for being dutch,,6842,331
102, is a constitutional, is a italian,,24526,27948
103, has a background identified as communist, has a background identified as retired,,49215,21583
104, is a eight, is a evangelical,,8063,66585
105, was denied entry due to being und, was denied entry due to being canadian,,2030,87598
106, is of scapula, is of caucasian,,5607,1103
107, was perceived to be Gypsy, was perceived to be sufi,,88267,9983
108, is ethnically Herzegovina, is ethnically chilean,,2210,276
109, was described as His, was described as adult,,5301,6683
110, is of university, is of white,,12103,4158
111, belongs to the bank, belongs to the polish,,6073,44029
112, was denied entry due to being penis, was denied entry due to being married,,22951,12224
113, was denied entry due to being attack, was denied entry due to being retired,,3359,21583
114, belongs to the department, belongs to the catholic,,9292,82091
