,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0, in the territory of Gryta, in the territory of Ashleytown,,8326,12735
1, The court heard evidence in Braunschweig, The court heard evidence in Trujilloside,,328,485
2, The court heard evidence in Tarnowska, The court heard evidence in Veronicastad,,4914,324
3, in the territory of Gießen, in the territory of Vanessashire,,268,557
4, school teacher incurrently detained in Gdynia, school teacher incurrently detained in Monicachester,,544,1706
5, The court heard evidence in Constance, The court heard evidence in Mariafort,,590,3319
6, school teacher incurrently detained in Esenler, school teacher incurrently detained in Ginachester,,1754,1706
7, in the area of Krakow, in the area of Osbornview,,322,1177
8, lawyers practising in Heidelberg, lawyers practising in Christinaville,,3900,8270
9, in the territory of Innsbruck, in the territory of Snyderville,,30915,33487
10, The court heard evidence in Lucerne, The court heard evidence in Meaganview,,710,1177
11, lawyers practising in Idre, lawyers practising in Jerryfurt,,260,29205
12, lawyers practising in Horteri, lawyers practising in Lucashaven,,72,4005
13, The court heard evidence in Morawica, The court heard evidence in Christinemouth,,3970,1536
14, into existence in Schmolln, into existence in Tamarachester,,77,1706
15, in the area of Boumerdès, in the area of Patriciabury,,82,1601
16, into existence in Sakarya, into existence in Joelburgh,,43898,9228
17, The court in Morska, The court in Julieshire,,4914,10695
18, lawyers practising in Milia, lawyers practising in Tammytown,,544,12735
19, in the territory of gendarmerie, in the territory of Rochaville,,494,8270
20, in the territory of Chmielow, in the territory of Dannyshire,,322,10695
21, lawyers practising in Oldham, lawyers practising in Jonesport,,2763,634
22, into existence in Lenham, into existence in Wrightchester,,2763,35983
23, The court heard evidence in Karlskrona, The court heard evidence in Jessicamouth,,64,1536
24, The court in de, The court in Louisville,,390,21525
25, in the area of Gipuzkoa, in the area of Delgadotown,,64,593
26, into existence in Trzebnica, into existence in Riveraburgh,,3970,456
27, in the area of Hulme, in the area of Mendezborough,,1326,17913
28, into existence in Garonne, into existence in Loganburgh,,47476,9228
29, school teacher incurrently detained in Soest, school teacher incurrently detained in Carrollfort,,395,3319
30, lawyers practising in Remand, lawyers practising in Jamesville,,392,4244
31, into existence in Lier, into existence in Fordville,,959,4244
32, into existence in Kerküt, into existence in Mcintyreton,,83,1122
33, in the territory of Włodawa, in the territory of Tuckerview,,6909,769
34, The court heard evidence in sous, The court heard evidence in Whitechester,,516,35983
35, The court heard evidence in Tamanrasset, The court heard evidence in Melissaburgh,,316,456
36, The court in Nya, The court in Maxwellstad,,3972,24107
37, The court heard evidence in Sundsvall, The court heard evidence in Maureenfort,,439,3319
38, The court in stop, The court in Greenberg,,2245,46702
39, The court heard evidence in Mank, The court heard evidence in Beardport,,962,634
40, The court in Jaghori, The court in Gardnerville,,10145,33487
41, school teacher incurrently detained in Beira, school teacher incurrently detained in Heatherstad,,8704,24107
42, in the area of Cubitt, in the area of Davidhaven,,715,39487
43, in the area of Çukurova, in the area of Wigginsside,,6862,485
