,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0, in the area of Moussas, in the area of Guzmanfort,,300,3969
1, The court heard evidence in complex, The court heard evidence in Charleston,,6351,52293
2, The court in Londonderry, The court in Aguilarshire,,5400,14909
3, in the area of Saxony, in the area of Kevinmouth,,3549,32680
4, school teacher incurrently detained in Chełm, school teacher incurrently detained in Karimouth,,76,2898
5, in the territory of Borowice, in the territory of Mackenzieburgh,,558,17816
6, school teacher incurrently detained in Bozcaada, school teacher incurrently detained in Christinaberg,,2584,2375
7, in the area of Güroymak, in the area of Donaldfort,,585,371
8, The court heard evidence in Almners, The court heard evidence in Taraview,,4972,570
9, The court in Vehyettin, The court in Espinozaview,,258,570
10, in the territory of Hargeisa, in the territory of Sharpland,,10761,437
11, The court heard evidence in Aulnay, The court heard evidence in Jessicachester,,352,5191
12, lawyers practising in Sultanahmet, lawyers practising in Antoniomouth,,4059,2898
13, lawyers practising in Østerbro, lawyers practising in Lewistown,,14877,779
14, school teacher incurrently detained in Yealand, school teacher incurrently detained in Martinezbury,,15337,19603
15, The court heard evidence in Jever, The court heard evidence in Travisshire,,2054,14909
16, in the area of Lummen, in the area of Josephburgh,,5676,17816
17, school teacher incurrently detained in Bois, school teacher incurrently detained in Fergusonmouth,,285,32680
18, school teacher incurrently detained in Kadıköy, school teacher incurrently detained in Raymondborough,,88,14438
19, in the area of Eskişehir, in the area of Simmonsville,,126966,49928
20, into existence in Gdynia, into existence in Herreratown,,685,87333
21, school teacher incurrently detained in Jarocin, school teacher incurrently detained in Lauraville,,258,4517
22, lawyers practising in Béziers, lawyers practising in Courtneymouth,,4813,2898
23, in the area of Maritimes, in the area of Freemantown,,1733,779
24, into existence in Salles, into existence in Timothyview,,642,1050
25, into existence in Demosthenous, into existence in Natashahaven,,782,5276
26, school teacher incurrently detained in Marmara, school teacher incurrently detained in Adammouth,,5059,2898
27, in the territory of Colombes, in the territory of Andrewmouth,,288,32680
28, in the area of Tamanrasset, in the area of Samanthatown,,9852,779
29, The court heard evidence in Siirt, The court heard evidence in Ericberg,,2106,7725
30, in the area of Villeurbanne, in the area of Breannaside,,811,28512
31, in the area of Didier, in the area of Garrettshire,,1268,14909
32, The court in Avonos, The court in Michaelland,,436,437
33, The court in Söke, The court in Tinabury,,440,3350
34, lawyers practising in Serbia, lawyers practising in Georgetown,,58714,64939
35, The court in Oxted, The court in Millertown,,291,779
36, in the territory of Wronki, in the territory of Loriborough,,6642,14438
37, in the area of Mellishaw, in the area of Lamburgh,,672,866
38, into existence in Vouziers, into existence in Cabrerastad,,4813,329
39, into existence in Uzbekistan, into existence in Johnsonhaven,,8944,70912
40, The court in Goleniów, The court in Catherineton,,12263,263
