,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0, was represented by Bosoni, was represented by Kendra,,14651,430
1, a court designated by Adem, a court designated by Shelly,,368,12810
2, by the applicant's representative Wilson, by the applicant's representative Veronica,,8127,44498
3, a court designated by Graff, a court designated by Lacey,,487,25415
4, by the respondent Belgin, by the respondent Dwayne,,1655,43932
5, case and advocate Secretary, case and advocate Aaron,,4986,12139
6, a court designated by Tikiz, a court designated by Brandy,,528,10757
7, a court designated by Adetoro, a court designated by Gabriela,,16522,10304
8, case and advocate Dietmar, case and advocate Jacqueline,,3876,4470
9, by the applicant's representative Talay, by the applicant's representative Shelly,,323,12810
10, was represented by Neill, was represented by Rhonda,,359,13533
11, by the respondent Tubbs, by the respondent Colleen,,1443,20042
12, the expert Clift, the expert Eduardo,,2135,13109
13, a court designated by Ay, a court designated by Margaret,,13709,19579
14, case and advocate Lasse, case and advocate Charlene,,325,1734
15, by the respondent Herrmann, by the respondent Reginald,,9038,67
16, case and advocate Göksel, case and advocate Rebekah,,741,993
17, case and advocate Havil, case and advocate Debra,,346,430
18, by the applicant Schaller, by the applicant Phyllis,,263,271
19, was represented by Elğay, was represented by Abigail,,323,603
20, the expert Dakir, the expert Debra,,343,430
21, a court designated by Pabjan, a court designated by Alyssa,,13881,64
22, by the applicant's representative Amutgan, by the applicant's representative Tammie,,1030,494
23, by the applicant Robinson, by the applicant Eric,,12652,7651
24, was represented by Sezal, was represented by Jocelyn,,282,6213
25, was represented by Mollard, was represented by Kaitlyn,,446,6213
26, case and advocate Talip, case and advocate Joanne,,541,21952
27, a court designated by Serge, a court designated by John,,14465,1757
28, a court designated by Rosengren, a court designated by Katelyn,,918,77
29, by the respondent Konrad, by the respondent Debra,,6335,430
30, case and advocate Putin, case and advocate Joseph,,8144,7212
31, by the applicant Keltaş, by the applicant Yvonne,,46481,710
32, a court designated by Korbel, a court designated by Erika,,6667,28716
33, the expert McDougall, the expert Darlene,,439,1734
34, a court designated by Kenneth, a court designated by Ryan,,23632,6047
35, the expert Vajic, the expert Briana,,291,2271
36, by the applicant Orzechowski, by the applicant Yvonne,,12079,710
37, case and advocate Holm, case and advocate Marissa,,76,13808
38, a court designated by Beck, a court designated by Danny,,11739,15105
39, by the applicant's representative Goldsmith, by the applicant's representative Brandy,,21453,10757
40, by the respondent Naumann, by the respondent Kelsey,,40062,4397
41, was represented by Marconato, was represented by Darryl,,5549,75
42, by the applicant's representative Catalan, by the applicant's representative Mark,,31066,2940
43, case and advocate Mürvet, case and advocate Cheyenne,,16809,29727
44, by the respondent Søren, by the respondent Darlene,,918,1734
45, by the applicant Hardial, by the applicant Colton,,498,1122
46, was represented by Garay, was represented by Bethany,,323,1092
47, by the applicant Shaw, by the applicant Todd,,18193,14377
48, by the respondent Lady, by the respondent Hunter,,11182,9055
49, case and advocate Sandro, case and advocate Zachary,,305,560
50, was represented by Baischer, was represented by Shelly,,24645,12810
51, the expert Kenny, the expert Michael,,22102,3899
52, by the applicant's representative Borgaard, by the applicant's representative Darryl,,446,75
53, case and advocate Sürek, case and advocate Darryl,,37818,75
54, case and advocate Remli, case and advocate Ebony,,4528,1647
55, by the applicant Alami, by the applicant Kristina,,6277,1437
56, by the applicant Hodgson, by the applicant Ruben,,1559,268
57, a court designated by Said, a court designated by Melissa,,23885,24164
58, by the respondent Moutrie, by the respondent Yolanda,,5034,5282
59, by the respondent Lucyna, by the respondent Jacqueline,,2616,4470
60, was represented by Asiye, was represented by Gwendolyn,,5948,34742
61, the expert Nacic, the expert Cheyenne,,291,29727
62, was represented by Jankov, was represented by Reginald,,709,67
63, the expert Müller, the expert Kristin,,6051,259
64, by the respondent Almond, by the respondent Micheal,,6327,282
65, a court designated by Türkan, a court designated by Kaitlyn,,27541,6213
66, by the applicant Ivar, by the applicant Deanna,,7785,7697
67, was represented by Annand, was represented by Brianna,,392,7697
68, was represented by Hohbach, was represented by Kaitlyn,,19496,6213
69, by the applicant's representative Tang, by the applicant's representative Kenneth,,18816,23632
70, a court designated by Dr, a court designated by Shane,,1583,24379
71, a court designated by McInnes, a court designated by Jocelyn,,2516,6213
72, a court designated by Bloxsome, a court designated by Abigail,,11246,603
73, was represented by Tetik, was represented by Isabella,,1134,43653
74, by the respondent Mies, by the respondent Shelly,,444,12810
75, by the applicant Creighton, by the applicant Carla,,42993,5031
76, the expert Paszkowski, the expert Abigail,,26216,603
77, by the applicant's representative Ioannis, by the applicant's representative Latoya,,45017,23790
78, was represented by Nicolaidou, was represented by Rebekah,,280,993
79, by the applicant's representative de, by the applicant's representative Lisa,,390,15378
80, was represented by Principal, was represented by Patricia,,32641,30223
81, was represented by Hutton, was represented by Zachary,,21115,560
82, by the applicant Dario, by the applicant Candice,,4982,501
83, was represented by Hatice, was represented by Kristin,,501,259
84, the expert Sampaio, the expert Katelyn,,952,77
85, a court designated by Alexander, a court designated by Jane,,10009,12091
86, by the applicant's representative Elmer, by the applicant's representative Duane,,647,1531
87, by the applicant's representative Aydan, by the applicant's representative Stacie,,272,494
88, the expert Edelsberg, the expert Alyssa,,3900,64
89, the expert Castro, the expert Ellen,,21193,23811
90, case and advocate Sadık, case and advocate Rebekah,,74,993
91, by the respondent Oleg, by the respondent Zachary,,1455,560
92, by the applicant Richardson, by the applicant Carmen,,21679,46137
93, by the applicant Buscarini, by the applicant Priscilla,,5362,5049
94, was represented by Andrine, was represented by Andres,,7640,411
95, by the respondent Tedik, by the respondent Kylie,,1134,494
96, by the respondent Ege, by the respondent Kayla,,469,5031
97, by the respondent Fahriye, by the respondent Abigail,,5948,603
98, was represented by Devil, was represented by Jeffrey,,10489,19627
99, was represented by Laule, was represented by Brittney,,293,1681
100, a court designated by Matthews, a court designated by Catherine,,22233,22578
101, by the applicant Kazım, by the applicant Gabriella,,76,12627
102, by the respondent Simblet, by the respondent Kaitlyn,,83,6213
103, by the applicant Terzi, by the applicant Brianna,,17027,7697
104, by the applicant's representative Lopes, by the applicant's representative Brianna,,13920,7697
105, by the applicant Cynarski, by the applicant Cheyenne,,4106,29727
106, case and advocate Mette, case and advocate Jacqueline,,660,4470
107, by the applicant Michalis, by the applicant Debra,,27315,430
108, a court designated by Aran, a court designated by Kellie,,272,494
109, by the applicant Denham, by the applicant Terri,,2763,380
110, by the respondent Singh, by the respondent Anna,,14403,11735
111, by the applicant Competition, by the applicant Ryan,,27348,6047
112, a court designated by Binnaz, a court designated by Makayla,,1031,5031
113, by the respondent Orhan, by the respondent Jacqueline,,7637,4470
114, by the applicant's representative Hilgartner, by the applicant's representative Alyssa,,1008,64
115, by the applicant's representative Öcalan, by the applicant's representative Abigail,,272,603
116, was represented by Christie, was represented by Jennifer,,16929,16348
117, case and advocate Noli, case and advocate Marisa,,11106,9160
118, by the applicant Lorenc, by the applicant Kayla,,10782,5031
119, by the applicant's representative Merdji, by the applicant's representative Abigail,,7285,603
120, by the applicant Schofield, by the applicant Alyssa,,1164,64
121, by the respondent Lach, by the respondent Brandi,,620,72
122, was represented by Dyller, was represented by Eduardo,,6051,13109
123, by the applicant Übeyt, by the applicant Alyssa,,20760,64
124, by the respondent Patela, by the respondent Gwendolyn,,5031,34742
125, by the applicant's representative Semir, by the applicant's representative Brittney,,343,1681
126, the expert Lea, the expert Kristine,,64,500
127, case and advocate Akyol, case and advocate Alyssa,,349,64
128, a court designated by Karaman, a court designated by Kayla,,10546,5031
129, was represented by Kozłowski, was represented by Cheyenne,,12079,29727
130, the expert Atilla, the expert Jeffery,,5049,1924
131, by the respondent Balda, by the respondent Michaela,,64,64
132, the expert Rauf, the expert Darlene,,69,1734
133, by the applicant's representative Paluch, by the applicant's representative Shelly,,794,12810
134, was represented by Haluk, was represented by Ruben,,2724,268
135, case and advocate Simon, case and advocate Stephen,,11288,7970
136, by the applicant's representative Inspector, by the applicant's representative Jill,,24625,22772
137, was represented by Girçek, was represented by Mckenzie,,988,26389
138, was represented by Koçer, was represented by Darlene,,263,1734
139, a court designated by Kumenda, a court designated by Kelsey,,7438,4397
140, case and advocate Kumar, case and advocate Joel,,26105,18623
141, a court designated by Cato, a court designated by Cindy,,44509,39062
142, by the applicant's representative Mangouras, by the applicant's representative Darlene,,292,1734
143, by the applicant Dickson, by the applicant Eduardo,,46381,13109
144, a court designated by Subicka, a court designated by Kristin,,29873,259
145, case and advocate Divier, case and advocate Brandy,,959,10757
146, by the applicant's representative Manfred, by the applicant's representative Kristy,,39193,88
147, by the applicant Armine, by the applicant Rickey,,3810,2539
148, a court designated by Taner, a court designated by Latasha,,263,14715
149, by the applicant's representative Ming, by the applicant's representative Christopher,,26980,12803
150, by the applicant Sampson, by the applicant Micheal,,1559,282
151, the expert Jason, the expert James,,8982,3700
152, a court designated by Emily, a court designated by Jorge,,17608,34687
153, case and advocate Inga, case and advocate Jodi,,4908,23130
154, by the respondent Baldry, by the respondent Kristine,,563,500
155, by the applicant's representative Gursoy, by the applicant's representative Jermaine,,88,5718
156, by the respondent Roessler, by the respondent Maureen,,33730,49851
157, a court designated by Kandler, a court designated by Zachary,,1754,560
158, by the respondent Ottan, by the respondent Evelyn,,272,6213
159, the expert Evrenos, the expert Alyssa,,418,64
160, a court designated by Balkar, a court designated by Chelsey,,283,4397
161, the expert Michal, the expert Kristina,,282,1437
162, the expert Feriha, the expert Rebekah,,3099,993
163, a court designated by Sebastian, a court designated by Michelle,,26190,16738
164, by the applicant's representative ELORZA, by the applicant's representative Alyssa,,34892,64
165, by the respondent Christou, by the respondent Renee,,280,1453
166, a court designated by Judge, a court designated by Deborah,,8974,36976
167, by the applicant's representative Guillot, by the applicant's representative Aimee,,313,68
168, the expert Collette, the expert Debra,,21348,430
169, a court designated by Gaskin, a court designated by Mikayla,,259,5031
170, the expert Jazz, the expert Carrie,,21406,32462
171, the expert Barszcz, the expert Alyssa,,26691,64
172, by the applicant's representative Powell, by the applicant's representative David,,19675,3271
173, case and advocate Registrar, case and advocate Samantha,,46439,34778
174, a court designated by Hapeshis, a court designated by Alyssa,,271,64
