,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0, case and advocate Bosoni, case and advocate Brandy,,12355,13183
1, by the applicant's representative Adem, by the applicant's representative Tiffany,,358,50177
2, a court designated by Wilson, a court designated by Jennifer,,10520,26355
3, was represented by Graff, was represented by Kristen,,567,257
4, by the respondent Belgin, by the respondent Brenda,,6058,1473
5, the expert Secretary, the expert Kelly,,9526,14943
6, a court designated by Seddon, a court designated by Sonya,,9903,66
7, was represented by Derya, was represented by Alejandro,,66,33998
8, a court designated by Tikiz, a court designated by Stacie,,478,466
9, case and advocate Llamas, case and advocate Reginald,,284,69
10, case and advocate Adetoro, case and advocate Jacqueline,,12892,4115
11, the expert Dietmar, the expert Javier,,4175,28024
12, the expert Talay, the expert Pamela,,333,7896
13, was represented by Neill, was represented by Brenda,,408,1473
14, a court designated by Tubbs, a court designated by Sabrina,,1768,29814
15, by the respondent Clift, by the respondent Cathy,,2094,7822
16, the expert Ay, the expert Frank,,22587,6893
17, by the applicant Lasse, by the applicant Danielle,,339,282
18, by the respondent Herrmann, by the respondent Tiffany,,8420,50177
19, by the applicant's representative Göksel, by the applicant's representative Alyssa,,293,66
20, the expert Havil, the expert Tammy,,300,2577
21, by the applicant Voelskow, by the applicant Reginald,,49036,69
22, was represented by Schaller, was represented by Kaitlin,,254,3642
23, the expert Elğay, the expert Caitlin,,333,3642
24, was represented by Dakir, was represented by Danielle,,343,282
25, case and advocate Ağın, case and advocate Eileen,,19806,257
26, the expert Pabjan, the expert Yvonne,,17551,570
27, the expert Raggett, the expert Tammy,,44775,2577
28, case and advocate Bulduş, case and advocate Yolanda,,9663,7447
29, by the respondent Amutgan, by the respondent Phyllis,,1247,261
30, case and advocate Robinson, case and advocate Nancy,,17453,23397
31, the expert Sezal, the expert Jacqueline,,267,4115
32, was represented by Mollard, was represented by Jacqueline,,472,4115
33, a court designated by Talip, a court designated by Briana,,532,3230
34, the expert Serge, the expert Jared,,35176,43406
35, case and advocate Rosengren, case and advocate Reginald,,445,69
36, the expert Konrad, the expert Tanya,,4614,32028
37, the expert Yianni, the expert Alyssa,,8311,66
38, by the applicant Putin, by the applicant Douglas,,22404,17885
39, was represented by Keltaş, was represented by Micheal,,9663,267
40, by the respondent Korbel, by the respondent Audrey,,8382,5292
41, by the applicant McDougall, by the applicant Abigail,,455,647
42, by the applicant's representative Kenneth, by the applicant's representative James,,31270,5490
43, a court designated by Vajic, a court designated by Gabrielle,,280,4415
44, by the applicant Orzechowski, by the applicant Darlene,,15767,1751
45, by the applicant Holm, by the applicant Marissa,,78,14302
46, by the applicant's representative Beck, by the applicant's representative Ryan,,17600,13114
47, the expert Goldsmith, the expert Rachael,,27268,4696
48, was represented by Naumann, was represented by Brenda,,25331,1473
49, by the applicant Günther, by the applicant Abigail,,508,647
50, a court designated by Marconato, a court designated by Desiree,,4611,70
51, the expert Catalan, the expert Alexis,,266,261
52, the expert Mürvet, the expert Alyssa,,14763,66
53, a court designated by Sæther, a court designated by Yvonne,,508,570
54, was represented by Søren, was represented by Loretta,,445,893
55, by the applicant Hardial, by the applicant Sabrina,,451,29814
56, a court designated by Romuald, a court designated by Gabrielle,,69,4415
57, by the applicant's representative Garay, by the applicant's representative Debbie,,333,48036
58, the expert Shaw, the expert Mark,,24999,4744
59, was represented by Lady, was represented by Judy,,12688,38048
60, by the applicant's representative Sandro, by the applicant's representative Candace,,287,584
61, a court designated by Baischer, a court designated by Kimberly,,23268,314
62, by the applicant Pantîru, by the applicant Abigail,,579,647
63, a court designated by Kenny, a court designated by Maria,,39370,17100
64, a court designated by Borgaard, a court designated by Kirsten,,472,257
65, a court designated by Sürek, a court designated by Renee,,18415,70
66, was represented by Remli, was represented by Brenda,,965,1473
67, by the applicant Alami, by the applicant Meagan,,7588,12043
68, by the respondent Mulholland, by the respondent Renee,,1373,70
69, by the applicant's representative Hodgson, by the applicant's representative Jacqueline,,1665,4115
70, was represented by Said, was represented by Jamie,,35194,27283
71, a court designated by Moutrie, a court designated by Annette,,6595,442
72, by the applicant's representative Lucyna, by the applicant's representative Cassandra,,2072,17244
73, by the applicant Üstün, by the applicant Gabriela,,17499,7896
74, was represented by Asiye, was represented by Jacqueline,,6683,4115
75, by the applicant's representative Nacic, by the applicant's representative Tara,,23220,4595
76, by the applicant's representative Jankov, by the applicant's representative Desiree,,729,70
77, by the applicant's representative Müller, by the applicant's representative Michael,,49290,6277
78, a court designated by Almond, a court designated by Samantha,,9456,36412
79, by the applicant's representative Türkan, by the applicant's representative Jacqueline,,17369,4115
80, the expert Ivar, the expert Corey,,2044,90
81, by the respondent Annand, by the respondent Sherri,,395,363
82, by the applicant's representative Hohbach, by the applicant's representative Alyssa,,16836,66
83, by the applicant Tang, by the applicant Kyle,,31256,25856
84, the expert Dr, the expert Lance,,3196,35463
85, by the respondent McInnes, by the respondent Kaitlyn,,5210,13931
86, case and advocate Bloxsome, case and advocate Dwayne,,8826,570
87, by the applicant Tetik, by the applicant Jeffery,,1479,1771
88, by the respondent Mies, by the respondent Veronica,,447,43510
89, case and advocate Creighton, case and advocate Jocelyn,,251,30024
90, a court designated by Paszkowski, a court designated by Jacqueline,,15767,4115
91, by the applicant's representative Ioannis, by the applicant's representative Kaitlyn,,261,13931
92, case and advocate de, case and advocate Michael,,372,6277
93, the expert Principal, the expert Christopher,,34840,19717
94, the expert Hutton, the expert Bethany,,28738,1279
95, was represented by Dario, was represented by Jeffery,,5629,1771
96, by the respondent Méryl, by the respondent Valerie,,38866,24763
97, by the applicant's representative Hatice, by the applicant's representative Vicki,,547,40176
98, the expert Sampaio, the expert Alyssa,,900,66
99, by the applicant's representative Alexander, by the applicant's representative William,,13651,7252
100, a court designated by Elmer, a court designated by Kristi,,961,74
101, the expert Edelsberg, the expert Katelyn,,4978,79
102, was represented by Castro, was represented by Edward,,34192,12824
103, case and advocate Sadık, case and advocate Tracey,,47772,32175
104, by the applicant Oleg, by the applicant Bethany,,1851,1279
105, was represented by Richardson, was represented by Eric,,28345,12284
106, by the applicant Buscarini, by the applicant Dwayne,,5391,570
107, by the respondent Andrine, by the respondent Kathryn,,7920,36618
108, by the applicant Tedik, by the applicant Becky,,1479,90
109, a court designated by Ege, a court designated by Pamela,,463,7896
110, was represented by Ünal, was represented by Melanie,,2110,24132
111, a court designated by Devil, a court designated by Christian,,32974,6416
112, a court designated by Laule, a court designated by Carolyn,,1657,1362
113, a court designated by Matthews, a court designated by Arthur,,34313,15948
114, was represented by Kazım, was represented by Destiny,,45216,5104
115, by the applicant's representative Simblet, by the applicant's representative Caitlin,,85,3642
116, by the applicant's representative Terzi, by the applicant's representative Vanessa,,9877,15959
117, by the applicant's representative Lopes, by the applicant's representative Jenna,,11192,13685
118, a court designated by Daniele, a court designated by Tonya,,38853,66
