,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
0, the expert Austrian, the expert Henry,,56969,17599
1, by the respondent Lound, by the respondent Deanna,,795,12642
2, a court designated by Voyame, a court designated by Shelly,,373,11896
3, the expert Terry, the expert Michael,,31518,7937
4, by the respondent Magee, by the respondent Angelica,,68,3001
5, a court designated by Urszula, a court designated by Reginald,,5607,67
6, a court designated by Krall, a court designated by Brandi,,541,72
7, by the applicant Middleton, by the applicant William,,91614,12375
8, by the respondent Mahmut, by the respondent Brittney,,6984,3437
9, the expert Theresa, the expert David,,42712,6798
10, by the applicant Harrup, by the applicant Deanna,,454,12642
11, the expert Esim, the expert Tanya,,318,24074
12, case and advocate Arestis, case and advocate Alisha,,285,64
13, a court designated by August, a court designated by Robert,,6156,8397
14, the expert Uyanık, the expert Loretta,,40890,2565
15, by the respondent Gleeson, by the respondent Kristine,,60917,482
16, by the applicant's representative Duffy, by the applicant's representative Linda,,85862,38062
17, a court designated by Selva, a court designated by Zachary,,6586,658
18, by the applicant Leach, by the applicant Sherri,,610,461
19, a court designated by Collette, a court designated by Kristina,,9809,2210
20, by the respondent father, by the respondent Christina,,6981,59671
21, case and advocate Meryem, case and advocate Yolanda,,336,9817
22, by the applicant Okonek, by the applicant Yolanda,,74,9817
23, a court designated by Bloxsome, a court designated by Kaitlyn,,14689,18013
24, a court designated by Hilbrans, a court designated by Jermaine,,596,68
25, by the applicant's representative Rybacki, by the applicant's representative Katelyn,,72,77
26, a court designated by Beck, a court designated by Jason,,28718,18477
27, the expert Rosenmüller, the expert Reginald,,54956,67
28, was represented by Vostic, was represented by Katelyn,,292,77
29, was represented by Pietras, was represented by Tammy,,12784,2408
30, by the applicant Horwell, by the applicant Eileen,,9157,90694
31, the expert Çifçi, the expert Yolanda,,126325,9817
32, by the applicant Inal, by the applicant Kristin,,278,258
33, a court designated by Olga, a court designated by Sherry,,6743,5400
34, by the applicant Putin, by the applicant Joseph,,21126,15115
35, was represented by Brunfelter, was represented by Rebekah,,17872,1466
36, was represented by Whitaker, was represented by Micheal,,4407,278
37, by the respondent Berge, by the respondent Zachary,,709,658
38, by the applicant Budde, by the applicant Briana,,450,3362
39, by the applicant's representative Tim, by the applicant's representative Brittany,,9354,88154
40, a court designated by Coster, a court designated by Annette,,261,78728
41, by the applicant Rawlings, by the applicant Tammy,,18812,2408
42, by the applicant Kane, by the applicant Anthony,,45556,20696
43, case and advocate Saya, case and advocate Kristina,,12589,2210
44, a court designated by Mindia, a court designated by Selena,,685,7157
45, by the applicant Ilyas, by the applicant Yvonne,,300,28952
46, the expert Özgür, the expert Tabitha,,5186,64
47, by the applicant's representative Brian, by the applicant's representative Curtis,,17083,50716
48, was represented by Sabri, was represented by Kristy,,461,88
49, by the respondent Thies, by the respondent Kristin,,550,258
50, was represented by Hedigan, was represented by Sheryl,,10881,45025
51, the expert Yunus, the expert Kristine,,355,482
52, a court designated by Briz, a court designated by Janice,,449,558
53, case and advocate Betteley, case and advocate Yolanda,,3179,9817
54, by the applicant's representative Owen, by the applicant's representative Kelly,,46709,18661
55, by the applicant Luisa, by the applicant Stacey,,64,55920
56, a court designated by Boivin, a court designated by Mikayla,,258,4260
57, was represented by Lamming, was represented by Zachary,,5311,658
58, by the applicant's representative Irma, by the applicant's representative Angela,,98392,37143
59, case and advocate Graff, case and advocate Darlene,,542,34191
60, by the respondent Marcin, by the respondent Kristie,,18103,645
61, by the respondent Yasin, by the respondent Kristin,,50310,258
62, was represented by Talay, was represented by Shelia,,352,35929
63, case and advocate Dybo, case and advocate Abigail,,749,84206
64, a court designated by Elgesem, a court designated by Yolanda,,336,9817
65, by the applicant Vaas, by the applicant Breanna,,300,12642
66, was represented by Lionel, was represented by Adam,,83124,15037
67, was represented by Rieg, was represented by Kayla,,35010,4260
68, by the applicant's representative Demir, by the applicant's representative Jaclyn,,404,18013
69, was represented by Kadri, was represented by Kayla,,461,4260
70, a court designated by Faruk, a court designated by Sheri,,3101,72
